"DATE","REGION","AGEGROUP","Female","Male","All"
2020-08-21,"Flanders","0-9",6.28571428571429,4.57142857142857,10.8571428571429
2020-08-21,"Flanders","10-19",19.5714285714286,16.7142857142857,36.2857142857143
2020-08-21,"Flanders","20-29",23.8571428571429,21.5714285714286,45.4285714285714
2020-08-21,"Flanders","30-39",23.4285714285714,19.2857142857143,42.7142857142857
2020-08-21,"Flanders","40-49",19.5714285714286,20.5714285714286,40.1428571428571
2020-08-21,"Flanders","50-59",11,14.7142857142857,25.7142857142857
2020-08-21,"Flanders","60-69",6.57142857142857,7.42857142857143,14
2020-08-21,"Flanders","70-79",2.42857142857143,3.14285714285714,5.57142857142857
2020-08-21,"Flanders","80-89",3,1.57142857142857,4.57142857142857
2020-08-21,"Wallonia","0-9",3.14285714285714,3.71428571428571,6.85714285714286
2020-08-21,"Wallonia","10-19",8.14285714285714,8.14285714285714,16.2857142857143
2020-08-21,"Wallonia","20-29",12.2857142857143,14.5714285714286,26.8571428571429
2020-08-21,"Wallonia","30-39",10.8571428571429,9.42857142857143,20.2857142857143
2020-08-21,"Wallonia","40-49",9.28571428571429,8.14285714285714,17.4285714285714
2020-08-21,"Wallonia","50-59",6.85714285714286,10.2857142857143,17.1428571428571
2020-08-21,"Wallonia","60-69",4.14285714285714,3.57142857142857,7.71428571428572
2020-08-21,"Wallonia","70-79",2.42857142857143,1.14285714285714,3.57142857142857
2020-08-21,"Wallonia","80-89",2.71428571428571,0.571428571428571,3.28571428571429
2020-08-21,"Wallonia","90+",1.71428571428571,0.285714285714286,2
2020-08-22,"Brussels","0-9",3.57142857142857,3.71428571428571,7.28571428571429
2020-08-22,"Brussels","10-19",8.42857142857143,8,16.4285714285714
2020-08-22,"Brussels","20-29",17,12.7142857142857,29.7142857142857
2020-08-22,"Brussels","30-39",13.8571428571429,12,25.8571428571429
2020-08-22,"Brussels","40-49",9.28571428571429,11.1428571428571,20.4285714285714
2020-08-22,"Brussels","50-59",8.28571428571429,9.71428571428571,18
2020-08-22,"Brussels","60-69",3.28571428571429,3.42857142857143,6.71428571428571
2020-08-22,"Brussels","70-79",2.71428571428571,2.71428571428571,5.42857142857143
2020-08-22,"Flanders","0-9",6.42857142857143,4.57142857142857,11
2020-08-22,"Flanders","10-19",18.8571428571429,15.8571428571429,34.7142857142857
2020-08-22,"Flanders","20-29",24.1428571428571,22.1428571428571,46.2857142857143
2020-08-22,"Flanders","30-39",24.7142857142857,20.4285714285714,45.1428571428571
2020-08-22,"Flanders","40-49",19.7142857142857,20.8571428571429,40.5714285714286
2020-08-22,"Flanders","50-59",10.2857142857143,15.1428571428571,25.4285714285714
2020-08-22,"Flanders","60-69",6.57142857142857,7.57142857142857,14.1428571428571
2020-08-22,"Flanders","70-79",2.57142857142857,3,5.57142857142857
2020-08-22,"Flanders","80-89",3.28571428571429,1.42857142857143,4.71428571428571
2020-08-22,"Flanders","90+",3.14285714285714,0.428571428571429,3.57142857142857
2020-08-22,"Wallonia","0-9",3,3.71428571428571,6.71428571428571
2020-08-22,"Wallonia","10-19",8.14285714285714,8,16.1428571428571
2020-08-22,"Wallonia","20-29",12.1428571428571,15.5714285714286,27.7142857142857
2020-08-22,"Wallonia","30-39",10.4285714285714,9.85714285714286,20.2857142857143
2020-08-22,"Wallonia","40-49",9.14285714285714,8.28571428571429,17.4285714285714
2020-08-22,"Wallonia","50-59",5.71428571428571,9.42857142857143,15.1428571428571
2020-08-22,"Wallonia","60-69",3.28571428571429,3.14285714285714,6.42857142857143
2020-08-22,"Wallonia","70-79",2.42857142857143,1,3.42857142857143
2020-08-22,"Wallonia","90+",1.71428571428571,0.285714285714286,2
2020-08-23,"Brussels","10-19",8.57142857142857,8,16.5714285714286
2020-08-23,"Brussels","20-29",17,12.8571428571429,29.8571428571429
2020-08-23,"Brussels","30-39",13.5714285714286,12.4285714285714,26
2020-08-23,"Brussels","40-49",9.28571428571429,11.2857142857143,20.5714285714286
2020-08-23,"Brussels","50-59",8.28571428571429,9.71428571428571,18
2020-08-23,"Brussels","70-79",2.57142857142857,2.71428571428571,5.28571428571429
2020-08-23,"Flanders","10-19",18.7142857142857,14.7142857142857,33.4285714285714
2020-08-23,"Flanders","20-29",24,22.5714285714286,46.5714285714286
2020-08-23,"Flanders","30-39",24,20.5714285714286,44.5714285714286
2020-08-23,"Flanders","40-49",19.1428571428571,20.2857142857143,39.4285714285714
2020-08-23,"Flanders","50-59",9.85714285714286,15.1428571428571,25
2020-08-23,"Flanders","60-69",5.85714285714286,7.14285714285714,13
2020-08-23,"Flanders","70-79",2.42857142857143,3.14285714285714,5.57142857142857
2020-08-23,"Flanders","80-89",3.28571428571429,1.57142857142857,4.85714285714286
2020-08-23,"Wallonia","0-9",3.28571428571429,3.71428571428571,7
2020-08-23,"Wallonia","10-19",7.85714285714286,7.71428571428571,15.5714285714286
2020-08-23,"Wallonia","20-29",12.1428571428571,15.1428571428571,27.2857142857143
2020-08-23,"Wallonia","30-39",10.2857142857143,9.85714285714286,20.1428571428571
2020-08-23,"Wallonia","40-49",9,8.14285714285714,17.1428571428571
2020-08-23,"Wallonia","50-59",5.85714285714286,8.71428571428571,14.5714285714286
2020-08-23,"Wallonia","70-79",2.14285714285714,1,3.14285714285714
2020-08-23,"Wallonia","80-89",2.14285714285714,0.285714285714286,2.42857142857143
